Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit
118,290.0,104.0,4,2.0,2.5,7.46,0,0.45
119,296.0,99.0,2,3.0,3.5,7.28,0,0.47
120,327.0,104.0,5,3.0,3.5,8.84,1,0.71
121,335.0,117.0,5,5.0,5.0,9.56,1,0.94
122,334.0,119.0,5,4.5,4.5,9.48,1,0.94
123,310.0,106.0,4,1.5,2.5,8.36,0,0.57
124,308.0,108.0,3,3.5,3.5,,0,0.61
125,301.0,106.0,4,2.5,3.0,8.47,0,0.57
126,300.0,100.0,3,2.0,3.0,8.66,1,0.64
127,323.0,113.0,3,4.0,3.0,9.32,1,0.85
128,319.0,,3,2.5,2.0,8.71,1,0.78
129,326.0,112.0,3,3.5,3.0,9.1,1,0.84
130,333.0,118.0,5,5.0,5.0,9.35,1,0.92
131,339.0,114.0,5,4.0,4.5,9.76,1,0.96
132,303.0,105.0,5,5.0,4.5,8.65,0,0.77
133,309.0,105.0,5,3.5,3.5,8.56,0,0.71
134,323.0,112.0,5,4.0,4.5,8.78,0,0.79
135,333.0,113.0,5,4.0,4.0,9.28,1,0.89
136,314.0,109.0,4,3.5,4.0,8.77,1,
137,312.0,103.0,3,5.0,4.0,8.45,0,0.76
138,316.0,100.0,2,1.5,3.0,8.16,1,0.71
139,326.0,116.0,2,4.5,3.0,9.08,1,0.8
140,318.0,109.0,1,3.5,3.5,9.12,0,0.78
141,329.0,110.0,2,4.0,3.0,9.15,1,0.84
142,332.0,118.0,2,4.5,3.5,9.36,1,0.9
143,331.0,115.0,5,4.0,3.5,9.44,1,0.92
144,340.0,120.0,4,4.5,4.0,9.92,1,
145,325.0,112.0,2,3.0,3.5,8.96,1,0.8
146,320.0,113.0,2,2.0,2.5,8.64,1,0.81
147,315.0,105.0,3,2.0,2.5,8.48,0,0.75
148,326.0,114.0,3,3.0,3.0,9.11,1,0.83
149,339.0,116.0,4,4.0,3.5,9.8,1,0.96
150,311.0,106.0,2,3.5,3.0,8.26,1,0.79
151,334.0,114.0,4,4.0,4.0,9.43,1,0.93
152,332.0,116.0,5,5.0,5.0,9.28,1,0.94
153,321.0,,5,5.0,5.0,9.06,1,0.86
154,324.0,105.0,3,3.0,4.0,8.75,0,0.79
155,,108.0,3,3.0,3.5,8.89,0,0.8
156,312.0,109.0,3,3.0,3.0,8.69,0,0.77
157,315.0,105.0,3,2.0,2.5,8.34,0,0.7
158,309.0,104.0,2,2.0,2.5,8.26,0,0.65
159,,106.0,2,2.0,2.5,,0,0.61
160,297.0,100.0,1,1.5,2.0,7.9,0,0.52
161,315.0,103.0,1,1.5,2.0,7.86,0,0.57
162,298.0,99.0,1,1.5,3.0,7.46,0,0.53
163,318.0,109.0,3,3.0,3.0,8.5,0,0.67
164,317.0,105.0,3,3.5,3.0,8.56,0,0.68
165,329.0,111.0,4,4.5,4.0,9.01,1,0.81
166,322.0,110.0,5,4.5,4.0,,0,0.78
167,302.0,102.0,3,3.5,5.0,8.33,0,0.65
168,313.0,102.0,3,2.0,3.0,8.27,0,0.64
169,,97.0,2,2.0,4.0,7.8,1,0.64
170,311.0,99.0,2,2.5,3.0,7.98,0,0.65
171,312.0,101.0,2,2.5,3.5,8.04,1,0.68
172,,117.0,5,4.0,4.5,9.07,1,
173,322.0,110.0,4,4.0,5.0,9.13,1,0.86
174,323.0,113.0,4,4.0,4.5,9.23,1,0.89
175,321.0,111.0,4,4.0,4.0,8.97,1,0.87
176,320.0,111.0,4,4.5,3.5,8.87,1,0.85
177,,,4,4.5,4.5,9.16,1,0.9
178,319.0,110.0,3,3.5,3.5,9.04,0,0.82
179,309.0,108.0,3,2.5,3.0,,0,0.72
180,307.0,102.0,3,3.0,3.0,8.27,0,0.73
181,300.0,104.0,3,3.5,3.0,8.16,0,0.71
182,305.0,107.0,2,2.5,2.5,8.42,0,0.71
183,299.0,100.0,2,3.0,3.5,7.88,0,0.68
184,314.0,110.0,3,4.0,4.0,8.8,0,0.75
185,316.0,106.0,2,2.5,4.0,8.32,0,0.72
186,327.0,113.0,4,4.5,4.5,9.11,1,0.89
187,317.0,107.0,3,3.5,3.0,8.68,1,0.84
188,335.0,118.0,5,4.5,3.5,9.44,1,0.93
189,331.0,115.0,5,4.5,3.5,9.36,1,0.93
190,324.0,112.0,5,5.0,5.0,9.08,1,0.88
191,324.0,111.0,5,4.5,4.0,9.16,1,0.9
192,323.0,110.0,5,4.0,5.0,8.98,1,0.87
193,322.0,114.0,5,4.5,4.0,8.94,1,0.86
194,336.0,118.0,5,4.5,5.0,9.53,1,0.94
195,316.0,109.0,3,3.5,3.0,8.76,0,0.77
196,307.0,107.0,2,3.0,3.5,8.52,1,0.78
197,306.0,105.0,2,3.0,2.5,8.26,0,0.73
198,310.0,106.0,2,3.5,2.5,8.33,0,0.73
199,311.0,104.0,3,4.5,4.5,8.43,0,0.7
200,313.0,107.0,3,4.0,4.5,,0,0.72
201,317.0,,3,2.5,3.0,8.54,1,0.73
202,315.0,110.0,2,3.5,3.0,8.46,1,0.72
203,340.0,120.0,5,4.5,4.5,9.91,1,0.97
204,334.0,120.0,5,4.0,5.0,9.87,1,0.97
205,298.0,105.0,3,3.5,4.0,8.54,0,0.69
206,295.0,99.0,2,2.5,3.0,,0,0.57
207,315.0,99.0,2,3.5,3.0,7.89,0,0.63
208,,102.0,3,3.5,4.0,8.02,1,0.66
209,305.0,106.0,2,3.0,3.0,8.16,0,0.64
210,301.0,104.0,3,3.5,4.0,8.12,1,0.68
211,325.0,108.0,4,4.5,4.0,9.06,1,0.79
212,328.0,110.0,4,5.0,4.0,9.14,1,0.82
213,338.0,120.0,4,5.0,5.0,9.66,1,0.95
214,333.0,119.0,5,5.0,4.5,,1,0.96
215,331.0,117.0,4,4.5,5.0,9.42,1,0.94
216,330.0,116.0,5,5.0,4.5,9.36,1,0.93
217,322.0,112.0,4,4.5,4.5,9.26,1,0.91
218,321.0,109.0,4,4.0,4.0,9.13,1,0.85
219,324.0,110.0,4,3.0,3.5,8.97,1,
220,312.0,104.0,3,3.5,3.5,8.42,0,0.74
221,313.0,103.0,3,4.0,4.0,8.75,0,0.76
222,316.0,110.0,3,3.5,4.0,8.56,0,0.75
223,324.0,,4,4.5,4.0,8.79,0,0.76
224,308.0,109.0,2,3.0,4.0,8.45,0,0.71
225,305.0,105.0,2,3.0,2.0,8.23,0,0.67
226,296.0,99.0,2,2.5,2.5,8.03,0,0.61
227,306.0,110.0,2,3.5,4.0,8.45,0,0.63
228,312.0,110.0,2,3.5,3.0,8.53,0,0.64
229,318.0,112.0,3,4.0,3.5,8.67,0,0.71
230,,111.0,4,3.0,3.0,9.01,1,0.82
231,313.0,104.0,3,4.0,4.5,8.65,0,0.73
232,319.0,106.0,3,3.5,2.5,8.33,1,0.74
233,312.0,,2,2.5,3.5,8.27,0,
234,304.0,100.0,2,2.5,3.5,8.07,0,0.64
235,330.0,113.0,5,5.0,4.0,9.31,1,0.91
236,326.0,111.0,5,4.5,4.0,9.23,1,0.88
237,325.0,112.0,4,4.0,4.5,9.17,1,0.85
238,329.0,114.0,5,4.5,5.0,9.19,1,0.86
239,310.0,104.0,3,2.0,3.5,8.37,0,0.7
240,299.0,100.0,1,1.5,2.0,7.89,0,0.59
241,296.0,101.0,1,2.5,3.0,7.68,0,0.6
242,317.0,103.0,2,2.5,2.0,8.15,0,0.65
243,324.0,115.0,3,3.5,3.0,8.76,1,0.7
244,325.0,114.0,3,3.5,3.0,9.04,1,0.76
245,314.0,107.0,2,2.5,4.0,8.56,0,0.63
246,328.0,110.0,4,4.0,2.5,9.02,1,0.81
247,316.0,105.0,3,3.0,3.5,8.73,0,0.72
248,311.0,104.0,2,2.5,3.5,8.48,0,0.71
249,324.0,110.0,3,3.5,4.0,,1,0.8
250,321.0,111.0,3,3.5,4.0,8.83,1,0.77
251,320.0,104.0,3,3.0,2.5,8.57,1,0.74
252,316.0,99.0,2,2.5,3.0,9.0,0,
253,,100.0,2,2.5,3.5,8.54,1,0.71
254,335.0,115.0,4,4.5,4.5,9.68,1,0.93
255,321.0,114.0,4,4.0,5.0,9.12,0,0.85
256,307.0,110.0,4,4.0,4.5,8.37,0,0.79
257,309.0,99.0,3,4.0,4.0,8.56,0,0.76
258,324.0,100.0,3,4.0,5.0,8.64,1,0.78
259,326.0,102.0,4,5.0,5.0,8.76,1,0.77
260,331.0,119.0,4,5.0,4.5,9.34,1,0.9
261,327.0,108.0,5,5.0,3.5,9.13,1,0.87
262,312.0,104.0,3,3.5,4.0,8.09,0,0.71
263,308.0,103.0,2,2.5,4.0,8.36,1,0.7
264,324.0,111.0,3,2.5,1.5,8.79,1,0.7
265,325.0,110.0,2,3.0,2.5,8.76,1,0.75
266,313.0,102.0,3,2.5,2.5,8.68,0,0.71
267,312.0,105.0,2,2.0,2.5,8.45,0,0.72
268,314.0,107.0,3,3.0,3.5,8.17,1,0.73
269,327.0,113.0,4,4.5,5.0,9.14,0,0.83
270,,108.0,4,4.5,5.0,8.34,0,0.77
271,306.0,105.0,2,2.5,3.0,8.22,1,0.72
272,299.0,96.0,2,1.5,2.0,7.86,0,0.54
273,294.0,95.0,1,1.5,1.5,7.64,0,
274,312.0,99.0,1,1.0,1.5,8.01,1,0.52
275,315.0,100.0,1,2.0,2.5,7.95,0,0.58
276,322.0,110.0,3,3.5,3.0,8.96,1,0.78
277,329.0,113.0,5,5.0,4.5,9.45,1,0.89
278,320.0,101.0,2,2.5,3.0,8.62,0,0.7
279,308.0,103.0,2,3.0,3.5,8.49,0,0.66
280,304.0,102.0,2,3.0,4.0,8.73,0,0.67
281,311.0,102.0,3,4.5,4.0,8.64,1,0.68
282,317.0,110.0,3,4.0,4.5,9.11,1,0.8
283,,106.0,3,4.0,3.5,8.79,1,0.81
284,321.0,111.0,3,2.5,3.0,8.9,1,0.8
285,340.0,112.0,4,5.0,4.5,9.66,1,0.94
286,331.0,116.0,5,4.0,4.0,9.26,1,0.93
287,336.0,118.0,5,4.5,4.0,9.19,1,0.92
288,324.0,114.0,5,5.0,4.5,9.08,1,0.89
289,314.0,104.0,4,5.0,5.0,9.02,0,0.82
290,313.0,,3,4.0,3.5,9.0,0,0.79
291,307.0,105.0,2,2.5,3.0,7.65,0,0.58
292,300.0,102.0,2,1.5,2.0,,0,0.56
293,302.0,99.0,2,1.0,2.0,7.97,0,0.56
294,312.0,98.0,1,3.5,3.0,8.18,1,0.64
295,,101.0,2,2.5,2.0,8.32,1,
296,317.0,100.0,2,3.0,2.5,8.57,0,0.68
297,310.0,107.0,3,3.5,3.5,8.67,0,0.76
298,320.0,120.0,3,4.0,4.5,9.11,0,0.86
299,330.0,114.0,3,4.5,4.5,9.24,1,0.9
300,305.0,112.0,3,3.0,3.5,8.65,0,0.71
301,309.0,106.0,2,2.5,2.5,8.0,0,0.62
302,319.0,108.0,2,2.5,3.0,8.76,0,0.66
303,322.0,105.0,2,3.0,3.0,8.45,1,0.65
304,323.0,107.0,3,3.5,3.5,8.55,1,0.73
305,313.0,106.0,2,2.5,2.0,8.43,0,0.62
306,321.0,109.0,3,3.5,3.5,8.8,1,0.74
307,323.0,110.0,3,4.0,3.5,9.1,1,0.79
308,325.0,112.0,4,4.0,4.0,9.0,1,0.8
309,312.0,108.0,3,3.5,3.0,8.53,0,0.69
310,308.0,110.0,4,3.5,3.0,8.6,0,0.7
311,320.0,104.0,3,3.0,3.5,8.74,1,0.76
312,328.0,108.0,4,4.5,4.0,9.18,1,0.84
313,311.0,107.0,4,4.5,4.5,9.0,1,0.78
314,301.0,100.0,3,3.5,3.0,8.04,0,0.67
315,305.0,105.0,2,3.0,4.0,8.13,0,0.66
316,308.0,104.0,2,2.5,3.0,8.07,0,
317,298.0,101.0,2,1.5,2.0,7.86,0,0.54
318,300.0,99.0,1,1.0,2.5,8.01,0,0.58
319,324.0,111.0,3,2.5,2.0,8.8,1,0.79
320,327.0,113.0,4,3.5,3.0,8.69,1,0.8
321,317.0,106.0,3,4.0,3.5,8.5,1,0.75
322,323.0,104.0,3,4.0,4.0,8.44,1,0.73
323,314.0,107.0,2,2.5,4.0,8.27,0,0.72
324,305.0,102.0,2,2.0,2.5,8.18,0,0.62
325,,104.0,3,3.0,2.5,8.33,0,0.67
326,326.0,116.0,3,3.5,4.0,9.14,1,0.81
327,299.0,100.0,3,2.0,2.0,8.02,0,0.63
328,,101.0,2,2.5,2.0,7.86,0,0.69
329,324.0,112.0,4,4.0,3.5,8.77,1,0.8
330,297.0,96.0,2,2.5,1.5,7.89,0,0.43
331,327.0,113.0,3,3.5,3.0,8.66,1,0.8
332,311.0,105.0,2,3.0,2.0,8.12,1,0.73
333,308.0,,3,3.5,2.5,8.21,1,0.75
334,319.0,108.0,3,3.0,3.5,,1,0.71
335,312.0,107.0,4,4.5,4.0,8.65,1,0.73
336,325.0,111.0,4,4.0,4.5,9.11,1,0.83
337,319.0,110.0,3,3.0,2.5,8.79,0,0.72
338,332.0,118.0,5,5.0,5.0,9.47,1,0.94
339,323.0,108.0,5,4.0,4.0,8.74,1,
340,324.0,107.0,5,3.5,4.0,8.66,1,0.81
341,312.0,107.0,3,3.0,3.0,8.46,1,0.75
342,326.0,110.0,3,3.5,3.5,,1,0.79
343,308.0,,3,3.0,3.0,8.24,0,0.58
344,305.0,103.0,2,2.5,3.5,8.13,0,0.59
345,295.0,96.0,2,1.5,2.0,7.34,0,0.47
346,316.0,98.0,1,1.5,2.0,7.43,0,0.49
347,304.0,97.0,2,1.5,2.0,7.64,0,0.47
348,299.0,94.0,1,1.0,1.0,7.34,0,0.42
349,302.0,99.0,1,2.0,2.0,7.25,0,0.57
350,313.0,101.0,3,2.5,3.0,8.04,0,0.62
351,318.0,107.0,3,3.0,3.5,8.27,1,0.74
352,325.0,110.0,4,3.5,4.0,8.67,1,0.73
353,303.0,,2,3.0,3.5,8.06,1,0.64
354,300.0,102.0,3,3.5,2.5,8.17,0,0.63
355,297.0,98.0,2,2.5,3.0,7.67,0,0.59
356,317.0,106.0,2,2.0,3.5,8.12,0,0.73
357,327.0,109.0,3,3.5,4.0,8.77,1,0.79
358,301.0,104.0,2,3.5,3.5,7.89,1,
359,314.0,105.0,2,2.5,2.0,7.64,0,0.7
360,321.0,107.0,2,2.0,1.5,8.44,0,0.81
361,322.0,110.0,3,4.0,5.0,8.64,1,0.85
362,334.0,116.0,4,4.0,3.5,9.54,1,0.93
363,338.0,115.0,5,4.5,5.0,9.23,1,0.91
364,306.0,103.0,2,2.5,3.0,8.36,0,0.69
365,313.0,102.0,3,3.5,4.0,8.9,1,0.77
366,330.0,114.0,4,4.5,3.0,9.17,1,0.86
367,320.0,,3,3.5,4.5,8.34,1,0.74
368,311.0,98.0,1,1.0,2.5,7.46,0,0.57
369,298.0,92.0,1,2.0,2.0,7.88,0,0.51
370,301.0,98.0,1,2.0,3.0,8.03,1,0.67
371,310.0,103.0,2,2.5,2.5,8.24,0,0.72
372,324.0,110.0,3,3.5,3.0,9.22,1,0.89
373,336.0,,4,4.5,4.0,9.62,1,0.95
374,321.0,109.0,3,3.0,3.0,8.54,1,0.79
375,315.0,105.0,2,2.0,2.5,7.65,0,0.39
376,304.0,101.0,2,2.0,2.5,7.66,0,0.38
377,297.0,96.0,2,2.5,2.0,7.43,0,0.34
378,290.0,100.0,1,1.5,2.0,7.56,0,0.47
379,303.0,98.0,1,2.0,2.5,7.65,0,0.56
380,311.0,99.0,1,2.5,3.0,8.43,1,0.71
381,322.0,104.0,3,3.5,4.0,8.84,1,0.78
382,319.0,105.0,3,3.0,3.5,8.67,1,
383,324.0,110.0,4,4.5,4.0,9.15,1,0.82
384,300.0,100.0,3,3.0,3.5,8.26,0,0.62
385,,113.0,4,5.0,5.0,9.74,1,0.96
386,,117.0,5,5.0,5.0,9.82,1,0.96
387,302.0,101.0,2,2.5,3.5,7.96,0,0.46
388,307.0,105.0,2,2.0,3.5,8.1,0,0.53
389,296.0,97.0,2,1.5,2.0,7.8,0,0.49
390,320.0,108.0,3,3.5,4.0,8.44,1,0.76
391,314.0,102.0,2,2.0,2.5,8.24,0,
392,318.0,106.0,3,2.0,3.0,8.65,0,0.71
393,326.0,112.0,4,4.0,3.5,,1,0.84
394,317.0,104.0,2,3.0,3.0,8.76,0,0.77
395,329.0,111.0,4,4.5,4.0,9.23,1,0.89
396,324.0,110.0,3,3.5,3.5,9.04,1,0.82
397,325.0,107.0,3,3.0,3.5,9.11,1,
398,330.0,116.0,4,5.0,4.5,9.45,1,0.91
399,312.0,103.0,3,3.5,4.0,8.78,0,0.67
400,333.0,117.0,4,5.0,4.0,9.66,1,0.95
